Symbol,Company Name,Industry,Market Cap
API,"Agora, Inc.",Software - Application,301144865
APLD,Applied Digital Corporation,Capital Markets,486854000
APLE,"Apple Hospitality REIT, Inc.",REIT - Hotel & Motel,3509776783
APLM,Apollomics Inc.,Biotechnology,88881280
APLS,"Apellis Pharmaceuticals, Inc.",Biotechnology,5640779670
APLT,"Applied Therapeutics, Inc.",Biotechnology,157810500
APM,Aptorum Group Limited,Biotechnology,7091346
APO,"Apollo Global Management, Inc.",Asset Management,45435411364
APOG,"Apogee Enterprises, Inc.",Building Products & Equipment,917328944
APP,AppLovin Corporation,Software - Application,12774547153
APPF,"AppFolio, Inc.",Software - Application,6543974122
APPN,Appian Corporation,Software - Infrastructure,2868375869
APPS,"Digital Turbine, Inc.",Software - Application,469414390
APRE,"Aprea Therapeutics, Inc.",Biotechnology,13358595
APRN,"Blue Apron Holdings, Inc.",Internet Retail,83255809
APT,"Alpha Pro Tech, Ltd.",Building Products & Equipment,48248460
APTM,Alpha Partners Technology Merger Corp.,Shell Companies,240262378
APTO,Aptose Biosciences Inc.,Biotechnology,20146445
APTV,Aptiv PLC,Auto Parts,24433165360
APVO,Aptevo Therapeutics Inc.,Biotechnology,3457110
APWC,Asia Pacific Wire & Cable Corporation Limited,Electrical Equipment & Parts,26584590
APXI,APx Acquisition Corp. I,Shell Companies,119560089
APYX,Apyx Medical Corporation,Medical Devices,79334531
AQB,"AquaBounty Technologies, Inc.",Farm Products,8527305
AQMS,"Aqua Metals, Inc.",Waste Management,83846259
AQN,Algonquin Power & Utilities Corp.,Utilities - Renewable,3547386909
AQST,"Aquestive Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,100758223
AQU,Aquaron Acquisition Corp.,Shell Companies,48536579
AR,Antero Resources Corporation,Oil & Gas E&P,8574520320
ARAV,"Aravive, Inc.",Biotechnology,9062912
ARAY,Accuray Incorporated,Medical Devices,254031700
ARBB,ARB IOT Group Limited,Information Technology Services,27878000
ARBE,Arbe Robotics Ltd.,Software - Infrastructure,144157261
ARBK,Argo Blockchain plc,Capital Markets,64239000
ARC,"ARC Document Solutions, Inc.",Specialty Business Services,120623418
ARCB,ArcBest Corporation,Trucking,2664132250
ARCC,Ares Capital Corporation,Asset Management,10813608478
ARCE,Arco Platform Limited,Education & Training Services,920137187
ARCH,"Arch Resources, Inc.",Thermal Coal,2744110674
ARCO,Arcos Dorados Holdings Inc.,Restaurants,1948558778
ARCT,Arcturus Therapeutics Holdings Inc.,Biotechnology,496328010
ARDX,"Ardelyx, Inc.",Biotechnology,788664089
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,16166288994
AREB,"American Rebel Holdings, Inc.",Footwear & Accessories,1559386
AREC,American Resources Corporation,Coking Coal,110281041
AREN,"The Arena Group Holdings, Inc.",Internet Content & Information,84695604
ARES,Ares Management Corporation,Asset Management,30884417994
ARGO,"Argo Group International Holdings, Ltd.",Insurance - Property & Casualty,1049965289
ARGX,argenx SE,Biotechnology,27170041380
ARHS,"Arhaus, Inc.",Home Improvement Retail,1169951838
ARI,"Apollo Commercial Real Estate Finance, Inc.",REIT - Mortgage,1340026364
ARIS,"Aris Water Solutions, Inc.",Utilities - Regulated Water,465059558
ARIZ,Arisz Acquisition Corp.,Shell Companies,55270156
ARKO,Arko Corp.,Specialty Retail,914845470
ARKR,Ark Restaurants Corp.,Restaurants,56729478
ARL,"American Realty Investors, Inc.",Real Estate - Development,202061520
ARLO,"Arlo Technologies, Inc.",Security & Protection Services,774071794
ARLP,"Alliance Resource Partners, L.P.",Thermal Coal,2908620000
ARM,Arm Holdings Limited,Semiconductors,49149232000
ARMK,Aramark,Specialty Business Services,6985698000
ARMN,Aris Mining Corporation,Gold,336232485
ARMP,"Armata Pharmaceuticals, Inc.",Biotechnology,82008971
AROC,"Archrock, Inc.",Oil & Gas Equipment & Services,1971223201
AROW,Arrow Financial Corporation,Banks - Regional,368610190
ARQQ,Arqit Quantum Inc.,Software - Infrastructure,54730491
ARQT,"Arcutis Biotherapeutics, Inc.",Biotechnology,216554200
ARR,"ARMOUR Residential REIT, Inc.",REIT - Mortgage,666827408
ARRW,Arrowroot Acquisition Corp.,Shell Companies,121567985
ARRY,"Array Technologies, Inc.",Solar,2595382600
ARTE,Artemis Strategic Investment Corporation,Shell Companies,76147354
ARTL,"Artelo Biosciences, Inc.",Biotechnology,3693683
ARTNA,Artesian Resources Corporation,Utilities - Regulated Water,406430108
ARTW,"Art's-Way Manufacturing Co., Inc.",Farm & Heavy Construction Machinery,10069236
ARVL,Arrival,Auto Manufacturers,17231275
ARVN,"Arvinas, Inc.",Biotechnology,806553800
ARW,"Arrow Electronics, Inc.",Electronics & Computer Distribution,6263155752
ARWR,"Arrowhead Pharmaceuticals, Inc.",Biotechnology,2489021460
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,86011531
ASA,ASA Gold and Precious Metals Limited,Asset Management,265814822
ASAI,Sendas Distribuidora S.A.,Grocery Stores,2924652417
ASAN,"Asana, Inc.",Software - Application,3969581297
ASB,Associated Banc-Corp,Banks - Regional,2443896820
